duration: 01, msg_len: 100, n_threads: 1, iteration: 1, elapsed: 0.422287
duration: 01, msg_len: 100, n_threads: 1, iteration: 2, elapsed: 0.423208
duration: 01, msg_len: 100, n_threads: 1, iteration: 3, elapsed: 0.418093
duration: 01, msg_len: 100, n_threads: 1, iteration: 4, elapsed: 0.419110
duration: 01, msg_len: 100, n_threads: 1, iteration: 5, elapsed: 0.418638
duration: 01, msg_len: 100, n_threads: 2, iteration: 1, elapsed: 0.471118
duration: 01, msg_len: 100, n_threads: 2, iteration: 2, elapsed: 0.471727
duration: 01, msg_len: 100, n_threads: 2, iteration: 3, elapsed: 0.470790
duration: 01, msg_len: 100, n_threads: 2, iteration: 4, elapsed: 0.470771
duration: 01, msg_len: 100, n_threads: 2, iteration: 5, elapsed: 0.482931
duration: 01, msg_len: 100, n_threads: 4, iteration: 1, elapsed: 0.506110
duration: 01, msg_len: 100, n_threads: 4, iteration: 2, elapsed: 0.508970
duration: 01, msg_len: 100, n_threads: 4, iteration: 3, elapsed: 0.507071
duration: 01, msg_len: 100, n_threads: 4, iteration: 4, elapsed: 0.506208
duration: 01, msg_len: 100, n_threads: 4, iteration: 5, elapsed: 0.504124
duration: 01, msg_len: 100, n_threads: 8, iteration: 1, elapsed: 0.559801
duration: 01, msg_len: 100, n_threads: 8, iteration: 2, elapsed: 0.567128
duration: 01, msg_len: 100, n_threads: 8, iteration: 3, elapsed: 0.566512
duration: 01, msg_len: 100, n_threads: 8, iteration: 4, elapsed: 0.559907
duration: 01, msg_len: 100, n_threads: 8, iteration: 5, elapsed: 0.560461
duration: 01, msg_len: 100, n_threads: 16, iteration: 1, elapsed: 0.643957
duration: 01, msg_len: 100, n_threads: 16, iteration: 2, elapsed: 0.648807
duration: 01, msg_len: 100, n_threads: 16, iteration: 3, elapsed: 0.644617
duration: 01, msg_len: 100, n_threads: 16, iteration: 4, elapsed: 0.660525
duration: 01, msg_len: 100, n_threads: 16, iteration: 5, elapsed: 0.669711
duration: 01, msg_len: 1000, n_threads: 1, iteration: 1, elapsed: 0.419945
duration: 01, msg_len: 1000, n_threads: 1, iteration: 2, elapsed: 0.421751
duration: 01, msg_len: 1000, n_threads: 1, iteration: 3, elapsed: 0.426009
duration: 01, msg_len: 1000, n_threads: 1, iteration: 4, elapsed: 0.424528
duration: 01, msg_len: 1000, n_threads: 1, iteration: 5, elapsed: 0.422963
duration: 01, msg_len: 1000, n_threads: 2, iteration: 1, elapsed: 0.509107
duration: 01, msg_len: 1000, n_threads: 2, iteration: 2, elapsed: 0.522846
duration: 01, msg_len: 1000, n_threads: 2, iteration: 3, elapsed: 0.504151
duration: 01, msg_len: 1000, n_threads: 2, iteration: 4, elapsed: 0.472209
duration: 01, msg_len: 1000, n_threads: 2, iteration: 5, elapsed: 0.476629
duration: 01, msg_len: 1000, n_threads: 4, iteration: 1, elapsed: 0.521178
duration: 01, msg_len: 1000, n_threads: 4, iteration: 2, elapsed: 0.512083
duration: 01, msg_len: 1000, n_threads: 4, iteration: 3, elapsed: 0.507787
duration: 01, msg_len: 1000, n_threads: 4, iteration: 4, elapsed: 0.517140
duration: 01, msg_len: 1000, n_threads: 4, iteration: 5, elapsed: 0.527933
duration: 01, msg_len: 1000, n_threads: 8, iteration: 1, elapsed: 0.584033
duration: 01, msg_len: 1000, n_threads: 8, iteration: 2, elapsed: 0.566870
duration: 01, msg_len: 1000, n_threads: 8, iteration: 3, elapsed: 0.560524
duration: 01, msg_len: 1000, n_threads: 8, iteration: 4, elapsed: 0.561020
duration: 01, msg_len: 1000, n_threads: 8, iteration: 5, elapsed: 0.562749
duration: 01, msg_len: 1000, n_threads: 16, iteration: 1, elapsed: 0.656491
duration: 01, msg_len: 1000, n_threads: 16, iteration: 2, elapsed: 0.654916
duration: 01, msg_len: 1000, n_threads: 16, iteration: 3, elapsed: 0.669148
duration: 01, msg_len: 1000, n_threads: 16, iteration: 4, elapsed: 0.658407
duration: 01, msg_len: 1000, n_threads: 16, iteration: 5, elapsed: 0.655354
duration: 01, msg_len: 10000, n_threads: 1, iteration: 1, elapsed: 0.422399
duration: 01, msg_len: 10000, n_threads: 1, iteration: 2, elapsed: 0.423841
duration: 01, msg_len: 10000, n_threads: 1, iteration: 3, elapsed: 0.423845
duration: 01, msg_len: 10000, n_threads: 1, iteration: 4, elapsed: 0.422681
duration: 01, msg_len: 10000, n_threads: 1, iteration: 5, elapsed: 0.422833
duration: 01, msg_len: 10000, n_threads: 2, iteration: 1, elapsed: 0.471289
duration: 01, msg_len: 10000, n_threads: 2, iteration: 2, elapsed: 0.474091
duration: 01, msg_len: 10000, n_threads: 2, iteration: 3, elapsed: 0.477470
duration: 01, msg_len: 10000, n_threads: 2, iteration: 4, elapsed: 0.473236
duration: 01, msg_len: 10000, n_threads: 2, iteration: 5, elapsed: 0.479464
duration: 01, msg_len: 10000, n_threads: 4, iteration: 1, elapsed: 0.509029
duration: 01, msg_len: 10000, n_threads: 4, iteration: 2, elapsed: 0.508270
duration: 01, msg_len: 10000, n_threads: 4, iteration: 3, elapsed: 0.508073
duration: 01, msg_len: 10000, n_threads: 4, iteration: 4, elapsed: 0.509033
duration: 01, msg_len: 10000, n_threads: 4, iteration: 5, elapsed: 0.510281
duration: 01, msg_len: 10000, n_threads: 8, iteration: 1, elapsed: 0.568916
duration: 01, msg_len: 10000, n_threads: 8, iteration: 2, elapsed: 0.578986
duration: 01, msg_len: 10000, n_threads: 8, iteration: 3, elapsed: 0.588543
duration: 01, msg_len: 10000, n_threads: 8, iteration: 4, elapsed: 0.569491
duration: 01, msg_len: 10000, n_threads: 8, iteration: 5, elapsed: 0.577240
duration: 01, msg_len: 10000, n_threads: 16, iteration: 1, elapsed: 0.648030
duration: 01, msg_len: 10000, n_threads: 16, iteration: 2, elapsed: 0.646748
duration: 01, msg_len: 10000, n_threads: 16, iteration: 3, elapsed: 0.658610
duration: 01, msg_len: 10000, n_threads: 16, iteration: 4, elapsed: 0.645049
duration: 01, msg_len: 10000, n_threads: 16, iteration: 5, elapsed: 0.650163
duration: 01, msg_len: 100000, n_threads: 1, iteration: 1, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 1, iteration: 2, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 1, iteration: 3, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 1, iteration: 4, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 1, iteration: 5, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 2, iteration: 1, elapsed: too_large
duration: 01, msg_len: 100000, n_threads: 2, iteration: 2, elapsed: too_large
